Abed-El-Karim_Abu-Snina Maccabi_Rehovot
Roni_Edelshtein Meuhedet_Tveria
Kfir_Eizler Rambam_Haifa
Tair_Alon Rambam_Haifa
Michael_Beilin Meuhedet_Rosh-Ha'ayin
Gadi_Ben-Ari Maccabi_Ganei-Tikva
Menahem_Ben-Shachar Legalil_Nahariya
Kobi_Bar-Ilan Maccabi_Hertzliya
Steven_Berger Maccabi_Givataim
Silvio_Brill Ichilov_Tel-Aviv
Hadasa_Goldberg Schneider_Petach-Tikva
Omer_Goldstein Bnei-Zion_Haifa
Emilia_Gulko Maccabi_Kfar-Yona
Itai_Gur-Arie Tel-HaShomer_Ramat-Gan
Yaakov_Gurevitch Leumit_Karmiel
Gil_Gilad Schneider_Petach-Tikva
Dina_Ganopolsky Maccabi_Rishon-Letzion
Hadas_Gantz-Sorotzky Hadasa-Ein-Karem_Jerusalem
Yonatan_Greenfield Assaf-HaRofeh_Be'er-Yaakov
Shoshana_David Maccabi_Kefar-Saba
Ziva_Davidovitch Clalit_Netanya
On_Dolberg Clalit_Kefar-Saba
Eyal_Hirsch Bnei-Zion_Haifa
Jackie_Hertzlich Meuhedet_Bnei-Berak
Moriel_Weber Maccabi_Ra'anana
Shimon_Wine Beilinson_Petach-Tikva
Rachel_Zlobinsky Meuhedet_Haifa
Joslin_Zamir Maccabi_Afula
Petra_Zakhaim Rambam_Haifa
Moshe_Zer-Tzion Assuta_Tel-Aviv
Claude_Hatav Meuhedet_Jerusalem
Raphael_Heruti Reut_Tel-Aviv
Vered_Hermosh Laniado_Netanya
Tamar_Yashar Leumit_Tel-Aviv
Keren_Cohen Sha'arei-Tzedek_Jerusalem
Rena_Cohen Maccabi_Rosh-Ha'ayin
Norman_Cohen Maccabi_Ra'anana
Sraya_Cahanovitz Meuhedet_Hertzliya
Ofer_Caspi Beilinson_Petach-Tikva
Natalie_Katz Ma'ale-HaCarmel_Tirat-HaCarmel
Mordechai_Lorverboim Wolfson_Holon
Anatoly_Livshitz Reut_Tel-Aviv
Meriav_Leiba Tel-HaShomer_Ramat-Gan
Haim_Lioz Meuhedet_Tel-Aviv
Orna_Landau-De-Shalit Ichilov_Tel-Aviv
Mira_Motznik Clalit_Jerusalem
Gil_Morali Meuhedet_Jerusalem
Camel_Mahmid Bnei-Zion_Haifa
Davia_Misha Maccabi_Bat-Yam
Dimitri_Manevitch Clalit_Petach-Tikva
Naomi_Mativ Legalil_Nahariya
Adi_Novani Clalit_Jerusalem
Suhil_Nassralla Puriah_Galil-Tachton
Eyal_Na'alei-Yosef Clalit_Haifa
Nahum_Sagol Maccabi_Gedera
Irena_Starhilevitch Maccabi_Ramat-Gan
Suhil_Amar Meuhedet_Jerusalem
Mohammad_Adui Puriah_Galil-Tachton
Hussam_Udah Meuhedet_Baka-El-Garbiya
Ben_Amit Maccabi_Ramat-HaSharon
Liya_Eshet Shiba_Ramat-Gan
Baha_Francis Ziv_Zefat
Daviv_Frenkel Alin_Jerusalem
Mariah_Kaganov Clalit_Jerusalem
Moshe_Kotler Be'er-Yaakov_Nes-Tziyona
Dror_Krauss Schneider_Petach-Tikva
Uriel_Kremer Ichilov_Tel-Aviv
Paula_Roshka Kefar-Shaul_Jerusalem
Victor_Reznik Meir_Kefar-Saba
Sarah_Ran Meuhedet_Mazkeret-Batya
Salomon_Shtemer Beilinson_Petach-Tikva
Ayelet_Shay Legalil_Nahariya
Bareket_Shif-Keren Maccabi_Tel-Aviv
Dafna_Schlesinger Maccabi_Ramat-Gan
